id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_contenttype,Can add content type
14,4,change_contenttype,Can change content type
15,4,delete_contenttype,Can delete content type
16,4,view_contenttype,Can view content type
17,5,add_session,Can add session
18,5,change_session,Can change session
19,5,delete_session,Can delete session
20,5,view_session,Can view session
21,6,add_user,Can add user
22,6,change_user,Can change user
23,6,delete_user,Can delete user
24,6,view_user,Can view user
25,7,add_emailverification,Can add email verification
26,7,change_emailverification,Can change email verification
27,7,delete_emailverification,Can delete email verification
28,7,view_emailverification,Can view email verification
29,8,add_attachment,Can add attachment
30,8,change_attachment,Can change attachment
31,8,delete_attachment,Can delete attachment
32,8,view_attachment,Can view attachment
33,9,add_category,Can add category
34,9,change_category,Can change category
35,9,delete_category,Can delete category
36,9,view_category,Can view category
37,10,add_comment,Can add comment
38,10,change_comment,Can change comment
39,10,delete_comment,Can delete comment
40,10,view_comment,Can view comment
41,11,add_ticket,Can add ticket
42,11,change_ticket,Can change ticket
43,11,delete_ticket,Can delete ticket
44,11,view_ticket,Can view ticket
45,12,add_feedback,Can add feedback
46,12,change_feedback,Can change feedback
47,12,delete_feedback,Can delete feedback
48,12,view_feedback,Can view feedback
49,13,add_internalnote,Can add internal note
50,13,change_internalnote,Can change internal note
51,13,delete_internalnote,Can delete internal note
52,13,view_internalnote,Can view internal note
