id,app,name,applied
1,contenttypes,0001_initial,2026-06-13 18:17:09.026267
2,contenttypes,0002_remove_content_type_name,2026-06-13 18:17:09.049381
3,auth,0001_initial,2026-06-13 18:17:09.084378
4,auth,0002_alter_permission_name_max_length,2026-06-13 18:17:09.105047
5,auth,0003_alter_user_email_max_length,2026-06-13 18:17:09.120030
6,auth,0004_alter_user_username_opts,2026-06-13 18:17:09.138608
7,auth,0005_alter_user_last_login_null,2026-06-13 18:17:09.153947
8,auth,0006_require_contenttypes_0002,2026-06-13 18:17:09.167168
9,auth,0007_alter_validators_add_error_messages,2026-06-13 18:17:09.185010
10,auth,0008_alter_user_username_max_length,2026-06-13 18:17:09.203716
11,auth,0009_alter_user_last_name_max_length,2026-06-13 18:17:09.219125
12,auth,0010_alter_group_name_max_length,2026-06-13 18:17:09.239832
13,auth,0011_update_proxy_permissions,2026-06-13 18:17:09.256603
14,auth,0012_alter_user_first_name_max_length,2026-06-13 18:17:09.274618
15,users,0001_initial,2026-06-13 18:17:09.310445
16,admin,0001_initial,2026-06-13 18:17:09.341925
17,admin,0002_logentry_remove_auto_add,2026-06-13 18:17:09.365030
18,admin,0003_logentry_add_action_flag_choices,2026-06-13 18:17:09.384127
19,sessions,0001_initial,2026-06-13 18:17:09.412454
20,tickets,0001_initial,2026-06-13 18:17:09.436713
21,tickets,0002_initial,2026-06-13 18:17:09.567651
22,tickets,0003_ticket_is_escalated_feedback,2026-06-13 18:17:09.617443
23,tickets,0004_internalnote,2026-06-13 18:17:09.659384
24,tickets,0005_seed_default_categories,2026-06-13 18:17:09.703670
25,users,0002_emailverification,2026-06-13 18:17:09.738378
